age_lower,age_upper,age_midpoint,participants,mean_cycle_days,mean_within_person_sd_days,irregular_percent,source_doi
18,25,21.5,8757345,28.99,4.14,20.2,10.1038/s41598-024-60373-3
26,30,28.0,3822121,28.76,3.95,16.1,10.1038/s41598-024-60373-3
31,35,33.0,2948002,28.28,3.80,14.1,10.1038/s41598-024-60373-3
36,40,38.0,2055795,27.68,3.72,13.8,10.1038/s41598-024-60373-3
41,45,43.0,1234400,27.18,3.92,17.6,10.1038/s41598-024-60373-3
46,50,48.0,412761,27.15,4.72,28.6,10.1038/s41598-024-60373-3
51,55,53.0,36149,28.00,6.52,45.4,10.1038/s41598-024-60373-3
